"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"237","Reduce Energy Poverty","Making low-income housing energy-efficient to ensure  "cooling for all" can reduce energy poverty.","https://www.cleancoolingcollaborative.org/blog/leave-no-one-behind-efficient-climate-friendly-cooling-for-all/","9, 11","Creating energy efficiency, Supporting low-income housing with cooling solution, Sustainable cooling solution, Cooling equity","Behavioural","Local Government","UK; USA; sub-Saharan Africa; China, Latin America; Caribbean; Middle East; North Africa; Pacific Asia; South Asia ","Improving the SDG energy poverty targets: https://www.sciencedirect.com/science/article/pii/S0378778818323958","https://acclabplatforms.blob.core.windows.net/pads/media/image297.png"
"238","Solar-Powered Cold Chains and Stations","Solar-powered cold chains and stations-can be an innovative off-grid solution in remote or rural locations for storage and preservation of delicate goods such as fruits and vegetables.","https://www.brookings.edu/articles/how-off-grid-cold-storage-systems-can-help-farmers-reduce-post-harvest-losses/","7, 9","Decentralized renewable energy solution, Solar-powered cooling system, Enable cold storage, Reducing energy, Cooling  of food","Innovative","Private organization","Kenya","","https://acclabplatforms.blob.core.windows.net/pads/media/image298.png"
"239","Digital Technologies","Digital Technologies such as smart thermostats and other control device can optimise the cooling distribution and reduce the cooling demand in a building.","https://www.europeanenergyinnovation.eu/Articles/Autumn-2019/How-digitalisation-is-modernising-energy-efficiency","9, 13","Passive cooling, Intelligent energy management systems, Energy efficiency, Measures to reduce emissions","Technological","Private organization","USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image299.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image300.png"
"240","Colourful Films for Windows","A colourful, textured bi-layer film made from plant-based materials cool down when its in the sun. The material could someday keep buildings, cars and other structures cool without requiring external power. Some paints and films currently in development can achieve Passive daytime radiative cooling (PDRC)","https://www.innovations-report.com/life-sciences/colorful-films-could-help-buildings-cars-keep-their-cool/","9, 13","Colourful Films material, Sustainable cooling solution, Energy efficiency, Reducing GHGs, Passive daytime radiative cooling","Technological","Private organization","Japan; China","","https://acclabplatforms.blob.core.windows.net/pads/media/image301.png"
"241","ChotuKool","ChotuKool is an innovative approach to tackling the problem of food shortage in India. Architecture Sunderraman Gopalan and his team turned the traditional product which provides affordable and attractive food storage solution for people who had never used a refrigeratore. Chotukool is a 45-litter plastic container that can cool food to around 8 to 10 degrees on a 12 -volt battery. It uses a thermoelectric or solid state cooling system.","https://www.wipo.int/wipo_magazine/en/2013/06/article_0003.html#:~:text=Chotukool%20is%20an%20innovative%20approach,to%20or%20use%20a%20refrigerator.","9, 11, 13","Intilligent cooling solution, Using low energy, Reducing GHGs, Cooling with 12-Volt Battery","Innovative","Academy","India; Mumbai","Godrej and Boyce Manufacturing","https://acclabplatforms.blob.core.windows.net/pads/media/image302.png"
"242","Elastocaloric Cooling","Thermoelastic cooling, or elastocarolic cooling, is a cutting-edge solid state based alternative cooling technology to the state-of-the-art vapor compression cooling systems that dominate the world today.","https://www.ipm.fraunhofer.de/en/bu/energy-converters-thermal/expertise/caloric-systems/elastocaloric-systems.html","9","Elastocaloric cooling technology, Maximizing energy efficiency, Reducing carbon emissions, Cooling technology","Technological","Private organization","USA","CEEE, Daikin Lab","https://acclabplatforms.blob.core.windows.net/pads/media/image303.png"
"243","Electrochemical Compression and Dehumidification","The electrochemical compressor (EC) is a mass transport device capable of compressing gases via a chemical process, rather than a mechanical one. This can develop efficient not-in-kind energy conversion devices with potential applications in air conditioning and energy storage among others.","https://www.energy.gov/eere/buildings/articles/electrohydrodynamic-enabled-electrochemical-membrane-dehumidifier-separate","9","Latent cooling, Electrochemical dehumidification system, Saving energy","Technological","Private organization","USA","CEEE, Daikin Lab","https://acclabplatforms.blob.core.windows.net/pads/media/image304.png"
"244","Roco-Portable and Personal Air Conditioning","Roco is a Roving Personal Comfort Device, which provides ultimate personal thermal management for people in inadequately or in un-conditioned environments. It provides 12% to 30% energy savings compared with typical conditioned building systems, and better thermal and mobile comfort to occupants.","https://ceee.umd.edu/about/roco","9, 11","Designing Personal Comfort cooling device, Energy savings, Cooling system, Delivering cool stream, Energy efficiency","Technological","Private organization","South Wales, Wales","","https://acclabplatforms.blob.core.windows.net/pads/media/image305.png,https://acclabplatforms.blob.core.windows.net/pads/media/image306.jpeg"
"245","Isothermal Compression","It is a thermodynamic process of decreasing the volume or increasing the pressure when temperature of the system is constant. The process maintains the state of thermal equillibrium.","https://unacademy.com/content/jee/study-material/physics/isothermal-compression/#:~:text=Isothermal%20compression%20is%20the%20thermodynamic,the%20state%20of%20thermal%20equilibrium.","9","Improving refrigeration efficiency, Thermodynamic systems, Isothermal compression process","Technological","Private organization","USA; UK; Canada; Australia","","https://acclabplatforms.blob.core.windows.net/pads/media/image307.png"
"246","VRF Sytem Field Test Database Development","A multifunctional variable refrigerant flow (MFVRF) system is finding its way into buildings since it can simultaneously provide space cooling, space heating and hot water. Variant refrigerant flow system which was introduced in the U.S around 2002 has been installed in various types of commercial buildings, including offices, hotels, luxury apartments, low-income multi-family buildings, and universities. It can save energy up to 27.1-57.9% when compared to the variable air volume (VAV) system. VRF systems are well known for its installation flexibility and systematic modularity.","https://www.sciencedirect.com/science/article/abs/pii/S1359431114001227","9, 13","Innovative refrigerant flow system, Energy efficiency","Technological","Private organization","USA; Australia","VRF Systems:

https://be-exchange.org/wp-content/uploads/2019/07/20181203_VRF_20210802.pdf","https://acclabplatforms.blob.core.windows.net/pads/media/image308.png"
"247","Policy Efforts","Policy efforts include procurement, resolutions and landscape ordinances, comprehensive plans and design guidelines, zoning codes, green building programs and standards, building codes, and quality requirements.","https://www.epa.gov/heatislands/what-communities-are-doing-reduce-heat-islands","11","Policy Formulation, Policy implementation, Policy Enforcement, Strategies for coping with the heat","Behavioural","Local Government","China; Europe; India; Pakistan; USA; Singapore; Africa","","https://acclabplatforms.blob.core.windows.net/pads/media/image309.png"
"248","Circular Economy","A circular economy is a systems solution framework that tackles global challenges like climate change, biodiversity loss, waste and pollution. The circular economy is based on three principles, driven by design: Eliminate waste and pollution, Circulate products and materials and Regenerate nature.","https://www.ellenmacarthurfoundation.org/topics/circular-economy-introduction/overview","7, 13","Circular economy, Energy efficiency, Renewable energy, Waste recovery, Generating energy","Infrastructural","Local Government","Netherlands; France;  Italy","","https://acclabplatforms.blob.core.windows.net/pads/media/image310.png"
